names on page 1,links on page 1,descriptions on page 1
"
Ноутбук HP 15-DB1246UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 DOS FHD черный
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-1000gb-hdd-intel-hd-graphics-620-hd-dos-krasnyy,"        Операционная система DOS; 2х-ядерный процессор 2.4 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.85 кг            "
"
Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серый
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-1000gb-hdd-intel-hd-graphics-620-hd-dos-krasnyy,"        Операционная система Windows 10 Home; 2х-ядерный процессор 2.4 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.85 кг            "
"
Ноутбук HP 15S-EQ1143UR AMD Athlon 3150U 8GB DDR4 256GB SSD DOS FHD серый
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-240gb-ssd-intel-hd-graphics-620-hd-dos-krasnyy,"        Операционная система DOS; 2х-ядерный процессор 2.4 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.69 кг            "
"
Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-240gb-ssd-intel-hd-graphics-620-hd-dos-krasnyy,"        Тип: ноутбук; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Nvidia GTX 1650 ; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1,8 кг            "
"
Ноутбук Lenovo ThinkPad T14 Intel Core i7-10510U 16GB DDR4 512GB SSD Intel UHD Graphics 620 FHD черный
",https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-amd-ryzen-7-3750h-8gb-ddr4-256gb-ssd-nvidia-gtx1650-fhd-w10-black,        Тип: ноутбук; Процессор: Intel Core i7-10510U; Разрешение экрана: 1920х1080 FHD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 1.46 кг            
"
Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черный
",https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-amd-ryzen-7-3750h-8gb-ddr4-256gb-ssd-nvidia-gtx1650-fhd-w10-black,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.78 кг            
"
Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 4GB DDR4 1000GB HDD DOS Urban Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15api-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-radeon-vega-8-graphics-hd-dos-seryy,"        Операционная система DOS; 2х-ядерный процессор 3.0 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.59 кг            "
"
Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 4GB DDR4 240GB SSD DOS Urban Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15api-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-radeon-vega-8-graphics-hd-dos-seryy,"        Операционная система DOS; 2х-ядерный процессор 3.0 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 240 Гб; DVDRW нет; вес от 1.59 кг            "
names on page 2,links on page 2,descriptions on page 2
"
Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 8GB DDR4 240GB SSD DOS Urban Grey
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-14-3400-intel-core-i3-1115g4-8gb-ddr4-240gb-ssd-dos-urban-grey,"        Операционная система DOS; 2х-ядерный процессор 3.0 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 240 Гб; DVDRW нет; вес от 1.59 кг            "
"
Ноутбук Dell Vostro 5501 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD Linux Gray
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-14-3400-intel-core-i3-1115g4-8gb-ddr4-240gb-ssd-dos-urban-grey,"        Операционная система Linux; 4х-ядерный процессор 1.0 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" MVA; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.64 кг            "
"
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 500GB HDD Intel UHD Graphics 600 HD серый
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-5501-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-linux-gray,"        Операционная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель HDD 500 Гб; DVDRW нет; вес от 1.7 кг            "
"
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 1000GB HDD Intel UHD Graphics 600 HD серый
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-5501-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-linux-gray,"        Операционная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.7 кг            "
"
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 120GB SSD Intel UHD Graphics 600 HD серый
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-500gb-hdd-intel-uhd-graphics-600-hd-seryy,"        Операционная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 120 Гб; DVDRW нет; вес от 1.7 кг            "
"
Ноутбук Dell G5-5500 3DK9M Intel Core i5-10300H 8GB DDR4 256GB SSD NVIDIA GTX1650Ti FHD W10 Interstellar Dark
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-500gb-hdd-intel-uhd-graphics-600-hd-seryy,"        Операционная система Windows 10; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 2.3 кг            "
"
Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 Silver
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-1000gb-hdd-intel-uhd-graphics-600-hd-seryy,"        Операционная система Windows 10; 4х-ядерный процессор 1.6 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366х768; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.52 кг            "
"
Ноутбук Asus X515J Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS Slate Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr-1000gb-hdd-intel-uhd-graphics-600-hd-seryy,"        Операционная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" UWVA 1366x768; оперативная память 4 GB DDR4; накопитель SSD 128 GB; DVDRW нет; вес от...            "
